session_id,achieved_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,267,2.792,0.0859599,4,25
2,243,2.27636,0.0247604,2,237
3,210,2.16,0,1,6
4,203,2.37273,0.0475096,3,7
5,266,2.49818,0.055313,3,205
6,216,2.82545,0.0868726,4,9
7,199,2.62569,0.0781093,4,0
8,200,2.96364,0.0957055,4,6
9,206,2.34109,0.0465983,3,5
10,217,2.34109,0.0465983,3,7
11,203,2.31636,0.0243328,2,12
12,243,2.16,0,1,138
13,197,2.36945,0.0276243,2,7
14,258,2.54909,0.0271041,2,4
15,210,2.77042,0.085842,4,2
16,208,2.54364,0.0643317,3,4
17,196,2.28655,0.023855,2,4
18,199,2.65951,0.0582473,3,0
19,212,2.33273,0.0483242,3,23
20,226,3.5846,0.0736484,3,2
21,234,2.16,0,1,26
22,230,2.42909,0.0696108,4,14
23,254,3.21647,0.10548,4,3
24,192,2.86884,0.0821366,4,1
25,227,2.72278,0.0595647,3,1
26,207,2.41818,0.0571429,3,7
27,206,2.78193,0.0577755,3,0
28,205,3.8332,0.1127,4,1
29,210,2.61818,0.0527778,3,5
30,204,2.16,0,1,16
31,213,2.16,0,1,21
32,183,2.16,0,1,24
33,184,3.13333,0.0985302,4,0
34,227,2.49382,0.0809274,4,2
35,189,3.66156,0.106065,4,1
36,204,3.65115,0.123398,4,1
37,259,2.37273,0.0475096,3,48
38,203,2.66569,0.0769372,4,0
39,196,2.82545,0.0868726,4,0
40,239,3.82133,0.112193,4,0
41,260,3.24,0.037037,2,24
42,203,2.96364,0.0957055,4,3
43,183,3.03491,0.102444,4,1
44,205,2.73273,0.0998004,4,1
45,209,2.28655,0.023855,2,4
46,192,2.52727,0.0820144,4,2
47,203,2.592,0.0925926,4,0
48,210,3.5846,0.0736484,3,3
49,217,2.712,0.0589971,3,3
50,210,2.792,0.0859599,4,1
51,228,2.80387,0.0867631,4,3
52,185,3.36,0.0714286,3,2
53,203,2.31636,0.0243328,2,21
54,213,4.05793,0.114523,4,1
55,234,2.61818,0.0527778,3,16
56,231,2.62545,0.0934903,4,1
57,212,2.33273,0.0483242,3,4
58,206,3.13333,0.0985302,4,1
59,262,2.16,0,1,47
60,187,4.05793,0.114523,4,1
61,250,2.49382,0.0809274,4,2
62,229,2.792,0.0859599,4,3
63,189,3.06218,0.110438,4,0
64,214,2.20364,0.019802,2,13
65,190,3.24909,0.107443,4,1
66,225,2.68727,0.0771313,4,3
67,207,2.792,0.0859599,4,1
68,211,2.55733,0.0534649,3,1
69,198,2.89673,0.0941501,4,11
70,222,2.42655,0.0554473,3,2
71,204,3.72229,0.113127,4,0
72,233,2.16,0,1,73
73,231,2.69296,0.0862855,4,2
74,200,3.20024,0.099879,4,0
75,225,2.59733,0.0526415,3,3
76,236,2.45818,0.056213,3,3
77,236,2.16,0,1,17
78,180,2.89673,0.0941501,4,0
79,201,3.82133,0.112193,4,0
80,241,3.16,0.0759494,3,1
81,223,2.48727,0.0833333,4,11
82,210,2.28655,0.023855,2,4
83,213,2.20364,0.019802,2,13
84,215,2.38909,0.0707763,4,4
85,174,2.36945,0.0276243,2,9
86,205,2.69296,0.0862855,4,2
87,228,2.78545,0.0881201,4,1
88,228,2.28655,0.023855,2,7
89,244,2.48727,0.0833333,4,2
90,200,2.16,0,1,25
91,208,2.33273,0.0483242,3,7
92,300,2.59733,0.0526415,3,8
93,230,2.34109,0.0465983,3,9
94,204,2.54909,0.0271041,2,7
95,212,2.33273,0.0483242,3,24
96,176,2.46655,0.0545481,3,0
97,191,2.49818,0.055313,3,8
98,262,2.28655,0.023855,2,2
99,219,2.33273,0.0483242,3,11
100,207,2.54909,0.0271041,2,24
101,215,3.20024,0.099879,4,1
102,206,2.68727,0.0771313,4,2
103,212,2.55455,0.0918149,4,3
104,259,2.712,0.0589971,3,5
105,211,2.96364,0.0957055,4,2
106,176,2.36945,0.0276243,2,3
107,206,2.49382,0.0809274,4,3
108,222,2.62545,0.0934903,4,1
109,174,2.36945,0.0276243,2,3
110,222,2.31636,0.0243328,2,13
111,205,2.42909,0.0696108,4,5
112,202,2.33273,0.0483242,3,1
113,201,2.37273,0.0475096,3,4
114,213,2.47187,0.0450156,3,3
115,197,2.42909,0.0284431,2,10
116,209,2.49818,0.055313,3,5
117,188,3.92605,0.117536,4,0
118,174,2.45236,0.0311388,2,1
119,197,2.82545,0.0868726,4,2
120,215,2.92387,0.0832022,4,2
121,198,3.13333,0.0985302,4,1
122,207,2.61818,0.0527778,3,1
123,274,2.43491,0.0537634,3,114
124,214,2.31636,0.0243328,2,35
125,240,2.24727,0.038835,3,20
126,189,2.65951,0.0582473,3,1
127,221,3.45842,0.103463,4,0
128,177,2.53382,0.0796498,4,1
129,209,2.82545,0.0868726,4,1
130,208,2.38909,0.0707763,4,2
131,196,2.60509,0.0879397,4,1
132,256,2.66569,0.0769372,4,2
133,194,2.37273,0.0475096,3,2
134,187,2.52727,0.0820144,4,1
135,197,2.43491,0.0537634,3,5
136,227,3.2652,0.0955531,4,1
137,207,2.38909,0.0707763,4,1
138,217,2.80387,0.0867631,4,1
139,172,2.53382,0.0796498,4,1
140,245,2.36945,0.0276243,2,4
141,227,2.33273,0.0483242,3,20
142,210,2.78909,0.0677966,3,3
143,216,2.48727,0.0833333,4,4
144,210,2.62569,0.0781093,4,0
145,189,2.76387,0.0880188,4,0
146,189,3.5966,0.110104,4,1
147,190,2.54182,0.0321888,2,3
148,200,2.52727,0.0820144,4,1
149,179,2.49818,0.055313,3,3
150,190,2.792,0.0859599,4,1
151,183,2.99455,0.0716454,3,1
152,208,2.69296,0.0862855,4,2
153,197,2.54182,0.0321888,2,2
154,188,2.39564,0.068306,4,1
155,220,3.52969,0.1091,4,0
156,209,2.70364,0.0605245,3,14
157,191,4.11865,0.120781,4,1
158,211,2.72278,0.0595647,3,2
159,201,2.49382,0.0809274,4,3
160,222,2.56727,0.0807365,4,5
161,202,2.36945,0.0276243,2,4
162,199,3.11455,0.068885,3,16
163,246,2.37273,0.0475096,3,48
164,201,3.02205,0.0931335,4,2
165,178,2.36945,0.0276243,2,1
166,210,3.36,0.0714286,3,4
167,209,2.16,0,1,13
168,173,2.80582,0.0648004,3,0
169,180,3.08364,0.0919811,4,4
170,183,3.68945,0.115316,4,0
171,213,2.33273,0.0483242,3,5
172,276,2.28655,0.023855,2,34
173,217,2.39564,0.068306,4,4
174,276,2.84169,0.0932863,4,1
175,195,2.72278,0.0595647,3,1
176,192,2.45636,0.0799408,4,3
177,193,3.81091,0.128817,4,1
178,208,2.63224,0.0758429,4,1
179,218,2.28655,0.023855,2,6
180,272,3.13333,0.0985302,4,1
181,211,2.89455,0.0326633,2,25
182,196,2.28655,0.023855,2,20
183,195,2.33273,0.0483242,3,5
184,191,2.37273,0.0475096,3,3
185,221,2.33273,0.0483242,3,34
186,209,2.48727,0.0833333,4,2
187,218,2.38909,0.0707763,4,2
188,201,2.16,0,1,32
189,190,3.92605,0.117536,4,0
190,231,2.36945,0.0276243,2,9
191,217,2.59733,0.0526415,3,2
192,251,2.28655,0.023855,2,92
193,176,3.03491,0.102444,4,0
194,226,2.98909,0.0632603,3,26
195,207,2.47636,0.0631424,3,1
196,219,2.49818,0.055313,3,63
197,211,3.55684,0.0999867,4,2
198,203,2.33273,0.0483242,3,3
199,200,3.66156,0.106065,4,1
200,194,2.28655,0.023855,2,5
201,256,2.66545,0.0920873,4,2
202,198,2.31636,0.0243328,2,18
203,212,2.79769,0.0947535,4,3
204,224,2.33273,0.0483242,3,2
205,202,3.22182,0.0998871,4,1
206,206,2.78545,0.0881201,4,1
207,195,2.16,0,1,9
208,198,2.31636,0.0243328,2,37
209,208,2.28655,0.023855,2,5
210,204,3.5846,0.0736484,3,2
211,204,2.49818,0.055313,3,5
212,218,2.16,0,1,7
213,208,2.49818,0.055313,3,2
214,199,2.20364,0.019802,2,4
215,217,2.96364,0.0957055,4,2
216,188,2.34109,0.0465983,3,2
217,206,3.20024,0.099879,4,1
218,276,2.16,0,1,116
219,209,2.16,0,1,9
220,202,2.36945,0.0276243,2,1
221,225,2.33273,0.0483242,3,4
222,197,3.45855,0.119861,4,1
223,216,2.42182,0.0337838,2,12
224,194,3.22182,0.0998871,4,1
225,249,2.41818,0.0571429,3,42
226,186,2.28655,0.023855,2,5
227,202,2.52751,0.066037,4,1
228,203,2.78545,0.0881201,4,0
229,189,3.32024,0.0962692,4,1
230,202,2.69296,0.0862855,4,1
231,219,2.84278,0.0570504,3,4
232,199,3.24909,0.107443,4,1
233,258,4.04751,0.130181,4,1
234,209,2.69296,0.0862855,4,3
235,215,2.82545,0.0868726,4,7
236,227,3.06738,0.0606973,3,5
237,213,2.78545,0.0881201,4,2
238,191,3.13333,0.0985302,4,1
239,203,3.8092,0.0756064,3,4
240,254,2.39564,0.068306,4,29
241,209,2.70364,0.0605245,3,5
242,252,2.48727,0.0833333,4,9
243,190,2.36945,0.0276243,2,2
244,191,2.54182,0.0321888,2,3
245,215,2.28655,0.023855,2,11
246,228,2.62569,0.0781093,4,38
247,211,2.52727,0.0820144,4,2
248,201,2.49382,0.0809274,4,11
249,204,2.39564,0.068306,4,3
250,208,2.64278,0.0613678,3,1
251,211,3.73478,0.116254,4,1
252,207,2.36945,0.0276243,2,3
253,204,3.32024,0.0962692,4,4
254,170,2.49818,0.055313,3,1
255,222,2.62569,0.0781093,4,1
256,211,2.31636,0.0243328,2,53
257,245,2.80387,0.0867631,4,2
258,222,3.5966,0.110104,4,1
259,175,2.45236,0.0311388,2,1
260,236,2.33273,0.0483242,3,216
261,236,2.16,0,1,7
262,192,2.53382,0.0796498,4,1
263,212,2.82545,0.0868726,4,1
264,186,2.36945,0.0276243,2,3
265,208,2.73042,0.0870995,4,1
266,243,2.55455,0.0918149,4,2
267,200,3.13333,0.0985302,4,2
268,219,2.33273,0.0483242,3,66
269,199,2.76387,0.0880188,4,0
270,202,2.53382,0.0796498,4,1
271,238,2.34109,0.0465983,3,10
272,207,2.36945,0.0276243,2,2
273,207,2.49818,0.055313,3,7
274,220,2.38909,0.0707763,4,2
275,207,2.16,0,1,25
276,200,3.07455,0.0697812,3,2
277,193,2.82545,0.0868726,4,1
278,200,3.20024,0.099879,4,0
279,213,2.16,0,1,15
280,190,2.96364,0.0957055,4,1
281,217,3.5966,0.110104,4,1
282,189,3.45855,0.119861,4,1
283,228,2.79115,0.0969299,4,1
284,197,2.78545,0.0881201,4,0
